player_id,G,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,1B,wOBA
33599,154,582,66,167,48,1,19,81,274,24,132,3,1,0.287,0.315,0.471,0.786,99,0.3416
33639,156,639,101,187,42,15,19,90,316,62,84,5,4,0.293,0.355,0.495,0.85,111,0.3693
33727,95,353,60,113,18,1,17,56,184,11,9,1,1,0.32,0.341,0.521,0.862,77,0.3741
33761,145,441,48,89,16,4,10,50,143,82,140,3,0,0.202,0.327,0.324,0.651,59,0.2998
34092,153,606,102,188,31,4,32,110,323,68,150,0,0,0.31,0.38,0.533,0.913,121,0.3968
34093,157,619,118,163,24,0,43,108,316,106,221,1,2,0.263,0.371,0.511,0.882,96,0.3852
34096,129,450,54,130,32,2,6,47,184,43,68,3,3,0.289,0.351,0.409,0.76,90,0.3369
34120,129,524,76,173,19,6,17,82,255,35,104,0,0,0.33,0.372,0.487,0.859,131,0.3757
34124,38,138,26,42,9,1,6,24,71,15,48,1,3,0.304,0.373,0.514,0.887,26,0.3863
34128,136,491,84,138,37,6,25,84,262,50,172,1,0,0.281,0.348,0.534,0.882,70,0.3806
34155,36,115,14,25,6,0,3,14,40,10,33,0,0,0.217,0.28,0.348,0.628,16,0.2803
34156,76,290,45,79,10,1,13,39,130,21,71,0,1,0.272,0.322,0.448,0.77,55,0.3375
34161,4501,15632,1806,3676,663,146,262,1624,5417,1899,4499,126,49,0.235,0.318,0.347,0.665,2605,0.2996
34162,25,86,15,25,9,1,1,9,39,12,27,1,1,0.291,0.378,0.453,0.831,14,0.366
34164,128,514,70,128,21,2,15,59,198,42,103,16,8,0.249,0.306,0.385,0.691,90,0.3064
34182,84,304,52,78,12,0,21,61,153,19,83,2,1,0.257,0.3,0.503,0.803,45,0.3481
34186,74,165,27,42,5,2,5,20,66,18,30,5,1,0.255,0.328,0.4,0.728,30,0.3232
34189,9,6,4,2,1,0,0,3,3,1,1,0,0,0.333,0.429,0.5,0.929,1,0.407
34200,161,640,84,170,29,0,24,98,271,49,161,0,1,0.266,0.318,0.423,0.741,117,0.3265
34221,52,92,16,23,8,2,6,19,53,6,27,0,1,0.25,0.296,0.576,0.872,7,0.371
34267,138,548,61,111,18,1,21,68,194,42,189,1,2,0.203,0.259,0.354,0.613,71,0.2723
34284,84,252,36,66,13,0,8,33,103,23,82,1,1,0.262,0.324,0.409,0.733,45,0.3242
34294,154,583,117,173,45,8,30,121,324,72,112,8,3,0.297,0.374,0.556,0.93,90,0.4011
34296,119,455,55,120,31,0,19,67,208,34,126,2,1,0.264,0.315,0.457,0.772,70,0.3373
34297,4574,18926,2206,4820,818,31,818,2723,8154,993,4831,6,4,0.255,0.292,0.431,0.723,3153,0.316
34325,40,84,11,22,8,1,0,18,32,6,28,0,0,0.262,0.311,0.381,0.692,13,0.3052
34331,149,530,66,140,32,1,10,61,204,39,149,4,1,0.264,0.315,0.385,0.7,97,0.3099
34332,38,116,13,26,4,1,2,14,38,19,40,0,0,0.224,0.333,0.328,0.661,19,0.3028
34333,148,579,83,160,23,11,18,66,259,19,153,17,7,0.276,0.299,0.447,0.746,108,0.3241
34337,152,623,110,172,26,7,33,114,311,75,180,13,6,0.276,0.354,0.499,0.853,106,0.3719
34341,148,558,79,154,35,9,7,62,228,43,121,11,2,0.276,0.328,0.409,0.737,103,0.3242
34344,153,572,70,175,39,6,7,73,247,26,103,9,0,0.306,0.336,0.432,0.768,123,0.3363
34356,130,500,94,150,21,1,29,90,260,57,143,0,0,0.3,0.372,0.52,0.892,99,0.3886
34357,152,596,109,163,23,3,53,137,351,50,201,3,0,0.273,0.33,0.589,0.919,84,0.394
34365,30,91,6,22,9,0,0,9,31,7,18,0,0,0.242,0.296,0.341,0.637,13,0.2838
34372,154,577,62,156,20,3,11,59,215,33,119,6,3,0.27,0.31,0.373,0.683,122,0.3024
34426,157,641,99,181,29,1,34,107,314,44,161,1,1,0.282,0.328,0.49,0.818,117,0.3564
34431,56,193,31,48,14,0,3,20,71,15,44,0,0,0.249,0.303,0.368,0.671,31,0.298
34453,115,377,39,95,24,1,9,36,148,28,105,1,1,0.252,0.304,0.393,0.697,61,0.3074
34472,66,166,17,42,5,1,1,16,52,13,17,0,0,0.253,0.307,0.313,0.62,35,0.28
34599,83,286,39,89,19,1,9,57,137,10,40,0,2,0.311,0.334,0.479,0.813,60,0.3542
34604,154,565,79,158,15,3,21,93,242,54,134,5,0,0.28,0.342,0.428,0.77,119,0.3408
34635,32,111,17,34,10,0,3,13,53,10,22,1,1,0.306,0.364,0.477,0.841,21,0.3683
34738,131,454,58,119,21,3,3,45,155,42,79,0,0,0.262,0.325,0.341,0.666,92,0.2994
34971,156,604,99,171,34,3,26,76,289,57,166,0,2,0.283,0.345,0.478,0.823,108,0.3599
35011,151,620,95,185,34,0,33,130,318,54,150,0,0,0.298,0.355,0.513,0.868,118,0.3777
35173,159,658,95,180,32,8,17,81,279,44,65,3,0,0.274,0.319,0.424,0.743,123,0.3261
35215,152,630,88,173,33,7,20,123,280,36,113,16,6,0.275,0.314,0.444,0.758,113,0.331
35357,22,66,10,16,4,0,2,6,26,4,14,0,0,0.242,0.286,0.394,0.68,10,0.2989
35362,158,580,73,187,41,4,19,94,293,44,115,3,0,0.322,0.37,0.505,0.875,123,0.3815
35391,156,616,76,165,32,1,25,104,274,50,135,0,0,0.268,0.323,0.445,0.768,107,0.3368
35413,35,136,23,33,5,0,9,21,65,14,37,1,2,0.243,0.313,0.478,0.791,19,0.3453
35451,155,678,90,197,42,10,17,78,310,58,148,5,2,0.291,0.346,0.457,0.803,128,0.3518
35523,61,64,30,22,9,1,0,6,33,5,10,4,0,0.344,0.391,0.516,0.907,12,0.3936
35567,125,469,65,132,29,1,8,50,187,32,88,1,0,0.281,0.327,0.399,0.726,94,0.321
35591,149,612,80,167,26,7,23,92,276,16,118,5,3,0.273,0.291,0.451,0.742,111,0.3221
35673,152,600,111,170,29,2,31,81,296,63,168,1,0,0.283,0.351,0.493,0.844,108,0.3689
35713,153,641,98,190,27,13,11,64,276,62,107,35,18,0.296,0.358,0.431,0.789,139,0.348
35754,154,649,125,193,47,4,20,77,308,89,112,7,3,0.297,0.382,0.475,0.857,122,0.3766
35785,139,529,73,158,31,1,23,77,260,60,122,0,0,0.299,0.37,0.491,0.861,103,0.3773
36203,114,442,45,103,18,2,13,59,164,44,160,1,2,0.233,0.302,0.371,0.673,70,0.3003
36387,89,156,34,41,2,4,9,27,78,9,57,2,1,0.263,0.303,0.5,0.803,26,0.3467
36893,154,592,86,138,33,0,20,80,231,58,167,4,3,0.233,0.302,0.39,0.692,85,0.3069
37123,23,70,11,14,7,0,1,6,24,2,18,1,0,0.2,0.222,0.343,0.565,6,0.2459
37152,13,42,4,15,3,1,0,4,20,1,8,1,0,0.357,0.372,0.476,0.848,11,0.3695
37164,154,619,95,185,30,4,11,50,256,106,118,7,5,0.299,0.401,0.414,0.815,140,0.3657
37170,19,39,5,11,2,1,0,3,15,6,11,0,0,0.282,0.378,0.385,0.763,8,0.3423
37173,67,140,15,42,14,0,2,16,62,4,21,2,0,0.3,0.319,0.443,0.762,26,0.3322
37181,162,663,81,160,30,3,24,80,268,49,172,0,0,0.241,0.294,0.404,0.698,103,0.3071
37233,31,74,9,15,2,0,6,13,35,1,32,0,0,0.203,0.213,0.473,0.686,7,0.2941
37240,153,624,75,166,30,7,13,65,249,70,148,10,6,0.266,0.34,0.399,0.739,116,0.3286
37242,90,334,39,91,21,0,7,40,133,17,63,2,0,0.272,0.308,0.398,0.706,63,0.3107
37328,151,596,102,157,31,5,9,50,225,83,120,5,2,0.263,0.353,0.378,0.731,112,0.3286
37552,33,130,12,28,5,0,2,12,39,5,46,1,0,0.215,0.244,0.3,0.544,21,0.2419
37737,31,91,12,26,6,0,2,9,38,8,19,0,1,0.286,0.343,0.418,0.761,18,0.3367
37779,45,55,8,9,2,0,2,9,17,2,25,0,0,0.164,0.193,0.309,0.502,5,0.2204
38343,159,596,94,170,34,16,15,93,281,39,115,14,11,0.285,0.329,0.471,0.8,105,0.3476
38364,15,41,6,11,1,0,1,6,15,2,9,0,0,0.268,0.302,0.366,0.668,9,0.2964
38603,153,616,70,157,43,6,11,65,245,34,99,21,5,0.255,0.294,0.398,0.692,97,0.3032
38640,152,573,93,147,30,1,24,90,251,56,188,6,1,0.257,0.323,0.438,0.761,92,0.3347
